sub_id,user_id,plan,mrr,start_date,end_date
1,1,free,0.0,2023-11-24,2024-02-22
2,2,free,0.0,2023-10-15,2024-01-13
3,3,starter,29.0,2023-10-23,2023-12-22
4,4,free,0.0,2023-12-17,2024-01-16
5,5,starter,29.0,2023-08-23,2024-02-19
6,6,free,0.0,2023-06-02,2023-08-31
7,7,free,0.0,2023-03-26,2023-06-24
8,8,free,0.0,2023-10-11,2023-11-10
9,9,enterprise,349.0,2024-03-18,
10,10,growth,99.0,2023-12-26,
11,11,enterprise,349.0,2023-04-20,2023-11-16
12,12,free,0.0,2023-04-20,2023-08-18
13,13,free,0.0,2023-04-23,2023-05-23
14,14,growth,99.0,2023-06-22,2023-12-19
15,15,free,0.0,2023-10-22,2023-11-21
16,16,enterprise,349.0,2023-03-20,
17,17,free,0.0,2023-01-11,2023-03-12
18,18,growth,99.0,2023-07-29,2023-11-26
19,19,free,0.0,2023-06-09,2023-07-09
20,20,free,0.0,2023-02-05,2023-03-07
21,21,free,0.0,2023-04-30,2023-06-29
22,22,free,0.0,2024-03-21,2024-04-20
23,23,free,0.0,2023-08-16,2024-03-13
24,24,enterprise,349.0,2023-06-26,2023-10-24
25,25,growth,99.0,2023-02-08,2023-04-09
26,26,starter,29.0,2023-08-21,2023-12-19
27,27,free,0.0,2023-11-27,2024-01-26
28,28,growth,99.0,2024-02-07,
29,29,free,0.0,2023-07-08,2023-10-06
30,30,free,0.0,2023-04-21,2023-07-20
31,31,free,0.0,2023-12-12,2024-01-11
32,32,free,0.0,2023-01-29,2023-06-28
33,33,free,0.0,2023-06-16,2023-07-16
34,34,growth,99.0,2023-02-28,2023-04-29
35,35,starter,29.0,2023-11-11,2023-12-11
36,36,free,0.0,2023-11-20,2023-12-20
37,37,starter,29.0,2024-02-10,2024-03-11
38,38,free,0.0,2023-01-23,2023-04-23
39,39,enterprise,349.0,2023-11-25,
40,40,enterprise,349.0,2023-11-11,2023-12-11
41,41,starter,29.0,2024-01-01,2024-01-31
42,42,starter,29.0,2023-02-14,2024-01-10
43,43,starter,29.0,2023-03-29,2023-04-28
44,44,free,0.0,2023-12-19,2024-02-17
45,45,starter,29.0,2023-03-23,2023-06-21
46,46,free,0.0,2024-03-27,
47,47,free,0.0,2024-01-14,
48,48,starter,29.0,2023-08-14,2023-11-12
49,49,starter,29.0,2023-06-02,2023-09-30
50,50,free,0.0,2023-10-03,2023-12-02
51,51,free,0.0,2023-11-23,2024-01-22
52,52,enterprise,349.0,2024-03-04,2024-04-03
53,53,free,0.0,2023-12-26,2024-01-25
54,54,starter,29.0,2023-08-15,2023-11-13
55,55,free,0.0,2023-12-16,2024-01-15
56,56,free,0.0,2024-01-28,2024-05-27
57,57,starter,29.0,2024-02-22,2024-04-22
58,58,free,0.0,2024-02-07,
59,59,growth,99.0,2023-02-20,
60,60,enterprise,349.0,2023-04-02,2024-05-26
61,61,free,0.0,2023-08-09,2024-06-04
62,62,free,0.0,2023-05-09,2023-06-08
63,63,free,0.0,2024-02-16,2024-03-17
64,64,enterprise,349.0,2023-02-28,2023-07-28
65,65,free,0.0,2024-03-01,
66,66,growth,99.0,2023-08-10,
67,67,free,0.0,2023-01-31,2023-03-02
68,68,enterprise,349.0,2023-12-22,
69,69,enterprise,349.0,2023-05-06,2023-07-05
70,70,free,0.0,2023-02-01,2023-05-02
71,71,enterprise,349.0,2023-06-10,
72,72,growth,99.0,2023-03-14,2023-04-13
73,73,free,0.0,2023-04-18,2023-08-16
74,74,free,0.0,2023-06-23,2023-08-22
75,75,starter,29.0,2024-01-05,
76,76,free,0.0,2023-03-27,2023-05-26
77,77,starter,29.0,2023-08-01,2023-08-31
78,78,free,0.0,2023-09-01,2023-10-01
79,79,free,0.0,2024-02-25,2024-03-26
80,80,free,0.0,2023-08-22,2023-12-20
81,81,starter,29.0,2023-01-15,2023-02-14
82,82,free,0.0,2023-07-12,2023-10-10
83,83,free,0.0,2023-10-15,2024-01-13
84,84,enterprise,349.0,2023-03-13,
85,85,starter,29.0,2023-04-08,2023-06-07
86,86,starter,29.0,2023-04-25,2023-10-22
87,87,starter,29.0,2023-12-06,2024-02-04
88,88,growth,99.0,2023-01-07,2023-10-04
89,89,free,0.0,2023-11-29,2023-12-29
90,90,free,0.0,2024-03-26,2024-04-25
91,91,starter,29.0,2024-03-23,
92,92,starter,29.0,2023-06-05,2023-09-03
93,93,free,0.0,2023-08-23,2023-12-21
94,94,free,0.0,2023-07-31,2023-08-30
95,95,starter,29.0,2024-01-25,2024-05-24
96,96,growth,99.0,2023-02-01,2024-03-27
97,97,enterprise,349.0,2024-02-06,
98,98,starter,29.0,2023-08-25,2023-12-23
99,99,free,0.0,2024-02-07,2024-03-08
100,100,growth,99.0,2024-04-01,
101,101,free,0.0,2023-05-13,2023-06-12
102,102,starter,29.0,2023-09-04,2023-10-04
103,103,enterprise,349.0,2023-03-18,
104,104,starter,29.0,2023-06-23,2023-10-21
105,105,free,0.0,2024-03-11,
106,106,free,0.0,2023-10-26,2023-11-25
107,107,free,0.0,2023-12-22,2024-03-21
108,108,enterprise,349.0,2023-12-26,
109,109,enterprise,349.0,2023-10-08,
110,110,free,0.0,2023-11-11,2024-01-10
111,111,free,0.0,2024-03-17,2024-06-15
112,112,free,0.0,2023-12-02,2024-01-01
113,113,free,0.0,2024-03-16,2024-04-15
114,114,growth,99.0,2023-06-05,
115,115,enterprise,349.0,2024-01-30,
116,116,free,0.0,2023-07-07,2023-08-06
117,117,growth,99.0,2023-01-23,2024-02-17
118,118,free,0.0,2023-12-03,2024-03-02
119,119,starter,29.0,2023-10-11,2024-03-09
120,120,free,0.0,2023-06-17,2023-07-17
121,121,free,0.0,2024-01-17,2024-03-17
122,122,free,0.0,2023-04-08,2023-06-07
123,123,free,0.0,2023-03-17,2023-04-16
124,124,starter,29.0,2023-12-22,2024-05-20
125,125,starter,29.0,2023-01-10,2023-03-11
126,126,free,0.0,2023-08-18,2023-10-17
127,127,starter,29.0,2023-10-17,2023-11-16
128,128,starter,29.0,2023-05-17,2023-11-13
129,129,free,0.0,2023-11-08,2023-12-08
130,130,free,0.0,2023-04-08,2023-05-08
131,131,starter,29.0,2023-04-03,2024-02-27
132,132,starter,29.0,2023-03-25,2024-03-19
133,133,starter,29.0,2023-06-28,2023-07-28
134,134,free,0.0,2023-10-09,2023-11-08
135,135,starter,29.0,2023-11-16,2024-06-13
136,136,free,0.0,2023-05-25,2023-07-24
137,137,enterprise,349.0,2023-06-21,
138,138,enterprise,349.0,2023-03-30,2023-11-25
139,139,free,0.0,2023-08-10,2023-12-08
140,140,free,0.0,2023-08-06,2023-09-05
141,141,free,0.0,2023-01-20,2023-03-21
142,142,free,0.0,2023-06-25,2023-07-25
143,143,growth,99.0,2023-02-12,2023-09-10
144,144,enterprise,349.0,2023-12-14,
145,145,starter,29.0,2023-11-11,2024-05-09
146,146,free,0.0,2023-02-11,2023-05-12
147,147,free,0.0,2023-08-13,2023-09-12
148,148,growth,99.0,2023-09-25,2023-12-24
149,149,free,0.0,2023-10-31,2023-11-30
150,150,free,0.0,2023-03-22,2023-06-20
151,151,free,0.0,2023-04-09,2023-06-08
152,152,starter,29.0,2023-03-23,2023-07-21
153,153,starter,29.0,2023-02-26,2023-03-28
154,154,free,0.0,2023-05-24,2023-08-22
155,155,free,0.0,2023-10-21,2023-11-20
156,156,free,0.0,2023-06-01,2023-07-01
157,157,starter,29.0,2023-08-07,2024-02-03
158,158,enterprise,349.0,2023-10-04,2023-12-03
159,159,growth,99.0,2023-05-30,2024-06-23
160,160,free,0.0,2023-07-09,2024-02-04
161,161,free,0.0,2023-10-17,2024-02-14
162,162,growth,99.0,2023-10-26,2024-03-24
163,163,starter,29.0,2023-01-22,2023-05-22
164,164,free,0.0,2024-01-11,2024-04-10
165,165,free,0.0,2023-04-10,2023-05-10
166,166,free,0.0,2023-03-12,2023-05-11
167,167,growth,99.0,2023-11-11,2024-04-09
168,168,growth,99.0,2023-06-04,2023-07-04
169,169,growth,99.0,2023-08-14,2023-09-13
170,170,enterprise,349.0,2023-02-05,2024-01-01
171,171,free,0.0,2023-04-01,2023-05-01
172,172,starter,29.0,2023-05-15,2023-07-14
173,173,free,0.0,2024-03-20,2024-06-18
174,174,growth,99.0,2023-04-14,2023-09-11
175,175,free,0.0,2023-10-17,2024-01-15
176,176,free,0.0,2024-02-09,2024-03-10
177,177,enterprise,349.0,2023-03-03,2024-05-26
178,178,growth,99.0,2023-11-26,2024-01-25
179,179,free,0.0,2023-06-06,2023-08-05
180,180,growth,99.0,2023-07-21,2023-09-19
181,181,free,0.0,2023-09-27,2023-10-27
182,182,free,0.0,2023-03-16,2023-07-14
183,183,free,0.0,2023-01-24,2023-02-23
184,184,starter,29.0,2023-09-13,2023-10-13
185,185,free,0.0,2023-07-02,2023-08-31
186,186,free,0.0,2023-12-15,2024-01-14
187,187,starter,29.0,2023-08-21,2024-01-18
188,188,free,0.0,2023-02-17,2023-04-18
189,189,starter,29.0,2023-09-25,2023-10-25
190,190,starter,29.0,2024-01-06,2024-03-06
191,191,free,0.0,2023-03-29,2023-04-28
192,192,free,0.0,2024-03-07,
193,193,growth,99.0,2023-05-05,2023-10-02
194,194,free,0.0,2023-02-21,2023-05-22
195,195,free,0.0,2023-09-07,2023-11-06
196,196,free,0.0,2023-07-05,2023-09-03
197,197,free,0.0,2023-08-31,2023-10-30
198,198,free,0.0,2023-03-26,2023-04-25
199,199,free,0.0,2023-09-28,2023-10-28
200,200,growth,99.0,2023-11-22,2024-04-20
201,201,free,0.0,2023-02-20,2023-08-19
202,202,free,0.0,2023-01-17,2023-02-16
203,203,free,0.0,2023-03-15,2023-04-14
204,204,growth,99.0,2024-01-26,
205,205,starter,29.0,2023-02-28,2023-06-28
206,206,free,0.0,2023-05-09,2023-06-08
207,207,enterprise,349.0,2023-12-29,
208,208,growth,99.0,2023-11-30,
209,209,free,0.0,2023-07-14,2024-02-09
210,210,free,0.0,2023-07-13,2023-08-12
211,211,free,0.0,2023-12-06,2024-01-05
212,212,free,0.0,2023-06-06,2023-07-06
213,213,free,0.0,2023-10-26,
214,214,enterprise,349.0,2024-02-26,
215,215,free,0.0,2023-08-30,2024-03-27
216,216,starter,29.0,2024-02-20,
217,217,growth,99.0,2023-02-04,2023-04-05
218,218,free,0.0,2023-07-11,2023-08-10
219,219,starter,29.0,2023-12-07,2024-02-05
220,220,free,0.0,2023-05-01,2023-08-29
221,221,growth,99.0,2024-02-24,2024-05-24
222,222,free,0.0,2023-05-11,2023-06-10
223,223,enterprise,349.0,2023-03-17,2024-06-09
224,224,free,0.0,2023-02-25,2023-08-24
225,225,free,0.0,2024-02-09,2024-04-09
226,226,free,0.0,2023-07-02,2023-08-01
227,227,growth,99.0,2023-09-29,2024-04-26
228,228,starter,29.0,2024-01-28,2024-02-27
229,229,free,0.0,2023-04-25,2023-08-23
230,230,free,0.0,2023-10-30,2024-01-28
231,231,starter,29.0,2023-03-20,2023-04-19
232,232,free,0.0,2023-04-10,2023-06-09
233,233,starter,29.0,2023-03-17,2023-08-14
234,234,growth,99.0,2023-06-16,
235,235,growth,99.0,2024-01-08,
236,236,free,0.0,2023-11-12,2024-01-11
237,237,free,0.0,2023-04-26,2023-05-26
238,238,free,0.0,2023-12-30,2024-02-28
239,239,free,0.0,2023-10-09,2023-11-08
240,240,starter,29.0,2023-01-07,2023-03-08
241,241,starter,29.0,2023-11-09,2024-04-07
242,242,free,0.0,2023-05-10,2023-09-07
243,243,free,0.0,2023-12-02,2024-01-31
244,244,free,0.0,2023-11-19,2024-01-18
245,245,growth,99.0,2024-02-11,
246,246,growth,99.0,2023-01-11,2024-06-04
247,247,free,0.0,2023-01-13,2023-03-14
248,248,starter,29.0,2023-03-19,2023-08-16
249,249,free,0.0,2024-02-15,
250,250,starter,29.0,2023-12-23,2024-03-22
251,251,free,0.0,2024-01-20,2024-03-20
252,252,free,0.0,2023-08-28,2024-04-24
253,253,enterprise,349.0,2023-06-08,2023-11-05
254,254,free,0.0,2023-03-20,2023-05-19
255,255,free,0.0,2023-08-31,2023-09-30
256,256,free,0.0,2023-01-05,2023-03-06
257,257,free,0.0,2023-12-26,2024-02-24
258,258,free,0.0,2023-08-09,2023-10-08
259,259,free,0.0,2023-06-02,2023-08-01
260,260,enterprise,349.0,2023-03-24,
261,261,free,0.0,2023-04-06,2023-07-05
262,262,free,0.0,2023-11-02,2024-01-31
263,263,growth,99.0,2023-02-09,2023-07-09
264,264,free,0.0,2023-02-17,2023-03-19
265,265,free,0.0,2024-02-11,
266,266,free,0.0,2023-12-16,2024-02-14
267,267,free,0.0,2023-07-16,2023-08-15
268,268,free,0.0,2023-01-21,2023-02-20
269,269,free,0.0,2023-07-21,2023-08-20
270,270,free,0.0,2023-06-15,2023-08-14
271,271,growth,99.0,2023-03-03,2023-04-02
272,272,starter,29.0,2024-03-15,2024-05-14
273,273,starter,29.0,2023-02-22,2023-04-23
274,274,free,0.0,2023-09-29,2024-02-26
275,275,growth,99.0,2023-12-25,
276,276,free,0.0,2024-01-11,2024-05-10
277,277,free,0.0,2023-10-24,2024-03-22
278,278,free,0.0,2023-08-07,2023-09-06
279,279,free,0.0,2023-08-25,2023-11-23
280,280,free,0.0,2023-11-18,2024-01-17
281,281,free,0.0,2023-03-03,2023-07-01
282,282,starter,29.0,2023-05-29,2023-09-26
283,283,free,0.0,2023-08-28,2023-11-26
284,284,enterprise,349.0,2023-05-23,2023-09-20
285,285,growth,99.0,2023-09-12,2023-12-11
286,286,growth,99.0,2023-10-08,2023-11-07
287,287,starter,29.0,2023-07-14,2024-03-10
288,288,growth,99.0,2023-09-11,2024-05-08
289,289,free,0.0,2023-07-16,2023-08-15
290,290,growth,99.0,2023-06-22,
291,291,free,0.0,2023-12-14,
292,292,growth,99.0,2023-01-17,2023-03-18
293,293,starter,29.0,2023-05-06,2023-12-02
294,294,growth,99.0,2024-01-16,
295,295,free,0.0,2023-04-16,2023-07-15
296,296,free,0.0,2023-05-15,2023-06-14
297,297,starter,29.0,2024-02-11,2024-03-12
298,298,free,0.0,2024-01-06,
299,299,growth,99.0,2023-02-19,2023-09-17
300,300,free,0.0,2023-11-06,2024-01-05
301,301,free,0.0,2023-05-08,2023-06-07
302,302,starter,29.0,2023-07-13,2024-03-09
303,303,starter,29.0,2023-08-08,2023-10-07
304,304,free,0.0,2023-09-08,2023-10-08
305,305,free,0.0,2023-06-09,2023-07-09
306,306,free,0.0,2023-03-24,2023-04-23
307,307,free,0.0,2023-05-31,2023-07-30
308,308,starter,29.0,2023-02-04,2023-11-01
309,309,free,0.0,2023-02-16,2023-06-16
310,310,starter,29.0,2024-03-07,
311,311,free,0.0,2023-04-01,2023-05-01
312,312,free,0.0,2024-01-25,
313,313,free,0.0,2023-12-24,2024-02-22
314,314,free,0.0,2023-10-03,2023-11-02
315,315,free,0.0,2023-09-20,2023-12-19
316,316,starter,29.0,2024-02-19,
317,317,starter,29.0,2024-02-24,2024-06-23
318,318,growth,99.0,2023-04-02,2024-04-26
319,319,free,0.0,2023-06-01,2023-12-28
320,320,starter,29.0,2023-07-10,2023-08-09
321,321,free,0.0,2023-08-31,2023-09-30
322,322,starter,29.0,2023-02-02,2023-10-30
323,323,enterprise,349.0,2023-04-02,2023-05-02
324,324,starter,29.0,2023-06-16,2023-08-15
325,325,free,0.0,2023-02-03,2023-04-04
326,326,free,0.0,2023-09-24,2023-12-23
327,327,free,0.0,2024-01-21,2024-02-20
328,328,starter,29.0,2023-12-19,
329,329,starter,29.0,2023-07-02,2023-09-30
330,330,free,0.0,2023-09-25,2023-10-25
331,331,free,0.0,2023-11-21,
332,332,free,0.0,2023-06-25,2023-07-25
333,333,starter,29.0,2023-06-03,
334,334,free,0.0,2023-08-13,2023-09-12
335,335,starter,29.0,2024-01-30,2024-03-30
336,336,enterprise,349.0,2024-02-13,
337,337,enterprise,349.0,2024-02-26,2024-03-27
338,338,free,0.0,2023-08-29,2023-10-28
339,339,free,0.0,2023-07-26,2023-09-24
340,340,starter,29.0,2023-05-02,2023-08-30
341,341,free,0.0,2023-12-31,2024-02-29
342,342,growth,99.0,2023-11-22,2024-02-20
343,343,free,0.0,2023-03-14,2023-07-12
