user_id,signup_date,acquisition_channel,country,plan,churned,churn_date
1,2023-11-24,organic_search,AU,free,1,2024-02-22
2,2023-10-15,organic_search,DE,free,1,2024-01-13
3,2023-10-23,organic_search,US,starter,1,2023-12-22
4,2023-12-17,paid_search,AU,free,1,2024-01-16
5,2023-08-23,organic_search,US,starter,1,2024-02-19
6,2023-06-02,direct,UK,free,1,2023-08-31
7,2023-03-26,organic_search,IN,free,1,2023-06-24
8,2023-10-11,organic_search,US,free,1,2023-11-10
9,2024-03-18,social,DE,enterprise,0,
10,2023-12-26,organic_search,IN,growth,0,
11,2023-04-20,paid_search,FR,enterprise,1,2023-11-16
12,2023-04-20,organic_search,CA,free,1,2023-08-18
13,2023-04-23,organic_search,CA,free,1,2023-05-23
14,2023-06-22,social,US,growth,1,2023-12-19
15,2023-10-22,referral,BR,free,1,2023-11-21
16,2023-03-20,paid_search,AU,enterprise,0,
17,2023-01-11,email_campaign,DE,free,1,2023-03-12
18,2023-07-29,paid_search,DE,growth,1,2023-11-26
19,2023-06-09,referral,UK,free,1,2023-07-09
20,2023-02-05,organic_search,FR,free,1,2023-03-07
21,2023-04-30,direct,CA,free,1,2023-06-29
22,2024-03-21,referral,US,free,1,2024-04-20
23,2023-08-16,organic_search,US,free,1,2024-03-13
24,2023-06-26,email_campaign,US,enterprise,1,2023-10-24
25,2023-02-08,organic_search,BR,growth,1,2023-04-09
26,2023-08-21,paid_search,BR,starter,1,2023-12-19
27,2023-11-27,paid_search,CA,free,1,2024-01-26
28,2024-02-07,referral,US,growth,0,
29,2023-07-08,organic_search,US,free,1,2023-10-06
30,2023-04-21,paid_search,CA,free,1,2023-07-20
31,2023-12-12,organic_search,CA,free,1,2024-01-11
32,2023-01-29,organic_search,US,free,1,2023-06-28
33,2023-06-16,organic_search,BR,free,1,2023-07-16
34,2023-02-28,referral,US,growth,1,2023-04-29
35,2023-11-11,referral,CA,starter,1,2023-12-11
36,2023-11-20,referral,US,free,1,2023-12-20
37,2024-02-10,paid_search,US,starter,1,2024-03-11
38,2023-01-23,paid_search,DE,free,1,2023-04-23
39,2023-11-25,paid_search,US,enterprise,0,
40,2023-11-11,email_campaign,US,enterprise,1,2023-12-11
41,2024-01-01,paid_search,US,starter,1,2024-01-31
42,2023-02-14,organic_search,CA,starter,1,2024-01-10
43,2023-03-29,referral,AU,starter,1,2023-04-28
44,2023-12-19,organic_search,CA,free,1,2024-02-17
45,2023-03-23,social,BR,starter,1,2023-06-21
46,2024-03-27,organic_search,US,free,0,
47,2024-01-14,direct,UK,free,0,
48,2023-08-14,paid_search,US,starter,1,2023-11-12
49,2023-06-02,social,AU,starter,1,2023-09-30
50,2023-10-03,organic_search,UK,free,1,2023-12-02
51,2023-11-23,organic_search,US,free,1,2024-01-22
52,2024-03-04,paid_search,CA,enterprise,1,2024-04-03
53,2023-12-26,referral,CA,free,1,2024-01-25
54,2023-08-15,organic_search,US,starter,1,2023-11-13
55,2023-12-16,email_campaign,IN,free,1,2024-01-15
56,2024-01-28,email_campaign,IN,free,1,2024-05-27
57,2024-02-22,direct,UK,starter,1,2024-04-22
58,2024-02-07,referral,DE,free,0,
59,2023-02-20,social,AU,growth,0,
60,2023-04-02,email_campaign,US,enterprise,1,2024-05-26
61,2023-08-09,paid_search,UK,free,1,2024-06-04
62,2023-05-09,email_campaign,AU,free,1,2023-06-08
63,2024-02-16,direct,CA,free,1,2024-03-17
64,2023-02-28,email_campaign,US,enterprise,1,2023-07-28
65,2024-03-01,email_campaign,US,free,0,
66,2023-08-10,paid_search,AU,growth,0,
67,2023-01-31,email_campaign,IN,free,1,2023-03-02
68,2023-12-22,email_campaign,US,enterprise,0,
69,2023-05-06,organic_search,US,enterprise,1,2023-07-05
70,2023-02-01,paid_search,BR,free,1,2023-05-02
71,2023-06-10,paid_search,UK,enterprise,0,
72,2023-03-14,social,IN,growth,1,2023-04-13
73,2023-04-18,organic_search,US,free,1,2023-08-16
74,2023-06-23,referral,DE,free,1,2023-08-22
75,2024-01-05,email_campaign,UK,starter,0,
76,2023-03-27,email_campaign,FR,free,1,2023-05-26
77,2023-08-01,organic_search,UK,starter,1,2023-08-31
78,2023-09-01,email_campaign,IN,free,1,2023-10-01
79,2024-02-25,organic_search,FR,free,1,2024-03-26
80,2023-08-22,organic_search,US,free,1,2023-12-20
81,2023-01-15,paid_search,US,starter,1,2023-02-14
82,2023-07-12,direct,CA,free,1,2023-10-10
83,2023-10-15,referral,UK,free,1,2024-01-13
84,2023-03-13,social,DE,enterprise,0,
85,2023-04-08,organic_search,US,starter,1,2023-06-07
86,2023-04-25,social,US,starter,1,2023-10-22
87,2023-12-06,referral,DE,starter,1,2024-02-04
88,2023-01-07,referral,IN,growth,1,2023-10-04
89,2023-11-29,direct,US,free,1,2023-12-29
90,2024-03-26,direct,BR,free,1,2024-04-25
91,2024-03-23,paid_search,UK,starter,0,
92,2023-06-05,direct,UK,starter,1,2023-09-03
93,2023-08-23,referral,BR,free,1,2023-12-21
94,2023-07-31,referral,IN,free,1,2023-08-30
95,2024-01-25,paid_search,CA,starter,1,2024-05-24
96,2023-02-01,referral,US,growth,1,2024-03-27
97,2024-02-06,social,UK,enterprise,0,
98,2023-08-25,referral,US,starter,1,2023-12-23
99,2024-02-07,organic_search,AU,free,1,2024-03-08
100,2024-04-01,referral,US,growth,0,
101,2023-05-13,email_campaign,UK,free,1,2023-06-12
102,2023-09-04,organic_search,IN,starter,1,2023-10-04
103,2023-03-18,referral,US,enterprise,0,
104,2023-06-23,social,DE,starter,1,2023-10-21
105,2024-03-11,referral,FR,free,0,
106,2023-10-26,paid_search,BR,free,1,2023-11-25
107,2023-12-22,paid_search,US,free,1,2024-03-21
108,2023-12-26,organic_search,US,enterprise,0,
109,2023-10-08,organic_search,US,enterprise,0,
110,2023-11-11,organic_search,DE,free,1,2024-01-10
111,2024-03-17,email_campaign,AU,free,1,2024-06-15
112,2023-12-02,email_campaign,CA,free,1,2024-01-01
113,2024-03-16,direct,IN,free,1,2024-04-15
114,2023-06-05,organic_search,UK,growth,0,
115,2024-01-30,email_campaign,US,enterprise,0,
116,2023-07-07,paid_search,FR,free,1,2023-08-06
117,2023-01-23,direct,US,growth,1,2024-02-17
118,2023-12-03,organic_search,BR,free,1,2024-03-02
119,2023-10-11,paid_search,UK,starter,1,2024-03-09
120,2023-06-17,paid_search,US,free,1,2023-07-17
121,2024-01-17,organic_search,CA,free,1,2024-03-17
122,2023-04-08,paid_search,UK,free,1,2023-06-07
123,2023-03-17,direct,FR,free,1,2023-04-16
124,2023-12-22,referral,US,starter,1,2024-05-20
125,2023-01-10,paid_search,US,starter,1,2023-03-11
126,2023-08-18,referral,US,free,1,2023-10-17
127,2023-10-17,direct,US,starter,1,2023-11-16
128,2023-05-17,referral,DE,starter,1,2023-11-13
129,2023-11-08,social,CA,free,1,2023-12-08
130,2023-04-08,organic_search,CA,free,1,2023-05-08
131,2023-04-03,social,BR,starter,1,2024-02-27
132,2023-03-25,direct,US,starter,1,2024-03-19
133,2023-06-28,organic_search,IN,starter,1,2023-07-28
134,2023-10-09,organic_search,CA,free,1,2023-11-08
135,2023-11-16,paid_search,US,starter,1,2024-06-13
136,2023-05-25,organic_search,US,free,1,2023-07-24
137,2023-06-21,paid_search,FR,enterprise,0,
138,2023-03-30,referral,US,enterprise,1,2023-11-25
